Date,Open Price,High Price,Low Price,Close Price
2023-04-02,8.06,8.48,7.97,8.45
2023-04-16,8.37,8.91,7.79,8.81
2023-04-30,8.81,9.04,7.62,7.75
2023-05-14,7.75,10.3,7.28,9.5
2023-05-28,9.21,14.195,9.02,13.65
2023-06-11,14.44,17.16,13.82,15.02
2023-06-25,15.44,16.91,13.56,14.03
2023-07-09,13.87,15.9,13.83,15.34
2023-07-23,15.37,18.995,14.945,16.43
2023-08-06,16.61,20.2399,16.0,18.2
2023-08-20,18.25,18.39,13.68,14.4
2023-09-03,14.42,16.35,13.875,15.18
2023-09-17,15.08,16.15,14.29,15.33
2023-10-01,15.18,16.81,13.68,16.0
2023-10-15,16.03,18.44,14.82,17.36
2023-10-29,17.21,18.22,14.96,15.07
2023-11-12,15.27,19.72,14.48,19.67
2023-11-26,19.59,21.85,18.93,19.2
2023-12-10,19.13,20.31,17.05,17.77
2023-12-24,17.97,19.15,17.19,17.41
2024-01-07,17.44,17.91,15.664,15.98
2024-01-21,16.22,17.06,16.05,16.78
2024-02-04,17.46,18.3503,16.03,17.02
2024-02-18,17.56,25.525,16.48,24.44
2024-03-03,23.84,25.69,22.29,24.93
2024-03-17,24.4,27.5,23.42,23.49
2024-03-31,23.77,25.47,22.92,24.89
